1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Vapor Products,ECIG,N/A,,IL,6971824064698,BOX,Foger Switch Pro Kit 30k Puffs Disposable 5ct (ORA,Foger,,Foger,5,BOX,,52.50,1
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Vapor Products,ECIG,N/A,,IL,6971824064544,BOX,Foger BIT 35k Puffs Disposable 5ct (GEORGIA PEACH),Foger,,Foger,5,BOX,,52.50,1
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Vapor Products,ECIG,N/A,,IL,6971824063547,BOX,Foger Switch Pro Kit 30k Puffs Disposable 5ct (BLU,Foger,,Foger,5,BOX,,52.50,1
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Vapor Products,ECIG,N/A,,IL,6971824063493,BOX,Foger Switch Pro Kit 30k Puffs Disposable 5ct (STR,Foger,,Foger,5,BOX,,52.50,1
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Vapor Products,ECIG,N/A,,IL,6971824066982,BOX,Foger BIT 35k Puffs Disposable 5ct (STRAWBERRY BUR,Foger,,Foger,5,BOX,,52.50,1
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Vapor Products,ECIG,N/A,,IL,6971824064988,BOX,Foger Switch Pro Kit 30k Puffs Disposable 5ct (DRA,Foger,,Foger,5,BOX,,52.50,1
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Vapor Products,ECIG,N/A,,IL,6971824064469,BOX,Foger BIT 35k Puffs Disposable 5ct (PASSION KIWI),Foger,,Foger,5,BOX,,52.50,1
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Vapor Products,ECIG,N/A,,IL,6971824064476,BOX,Foger BIT 35k Puffs Disposable 5ct (BANANA TAFFY F,Foger,,Foger,5,BOX,,52.50,1
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Vapor Products,ECIG,N/A,,IL,810125438370,BOX,Geek Bar Pulse X 25k Puffs Disposable 5ct (ORANGE,Geek Bar,,Geek Bar,5,BOX,,57.00,1
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Vapor Products,ECIG,N/A,,IL,810164283252,BOX,Geek Bar Pulse X 25k Puffs Disposable 5ct (STRAWBE,Geek Bar,,Geek Bar,5,BOX,,57.00,1
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Vapor Products,ECIG,N/A,,IL,810125438295,BOX,Geek Bar Pulse X 25k Puffs Disposable 5ct (BLUE RA,Geek Bar,,Geek Bar,5,BOX,,57.00,1
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Vapor Products,ECIG,N/A,,IL,810164286185,BOX,Geek Bar Pulse X 25k Puffs Disposable 5ct (PINK BE,Geek Bar,,Geek Bar,5,BOX,,57.00,1
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Vapor Products,ECIG,N/A,,IL,810125439971,BOX,Geek Bar Pulse X 25k Puffs Disposable 5ct (WHITE P,Geek Bar,,Geek Bar,5,BOX,,57.00,1
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Vapor Products,ECIG,N/A,,IL,810125438318,BOX,Geek Bar Pulse X 25k Puffs Disposable 5ct (BLACKBE,Geek Bar,,Geek Bar,5,BOX,,57.00,1
